Time,Speed,Location,County,State,Lat,Lon,Comments
0402,UNK,2 SW Country Walk,Miami-Dade,FL,25.61,-80.44,A member of the public shared video of a large downed tree blocking a neighborhood street near Zoo Miami. Time estimated from radar. (MFL)
0415,UNK,2 SSE Westwood Lakes,Miami-Dade,FL,25.7,-80.36,An off-duty NWS employee reported large limbs downed from laurel oak trees in the Kendalltown neighborhood. Time estimated from radar. (MFL)
0415,UNK,3 NNE Jefferson,Marion,TX,32.8,-94.33,Tree down on FM1324. (SHV)
0415,UNK,9 NNE Jefferson,Marion,TX,32.87,-94.27,Tree down on FM2683. (SHV)
0421,UNK,6 N Reklaw,Rusk,TX,31.96,-94.98,A roof was ripped off of a house on CR 4256 on the Rusk County side of Lake Striker. (SHV)
0423,UNK,5 ENE Rusk,Cherokee,TX,31.83,-95.07,Numerous trees down across Highway 84 near CR 1204 northeast of Rusk. Trees down on structures in the area. A vehicle hit a tree lying across the roadway... but the dri (SHV)
0425,UNK,11 NNE Reklaw,Rusk,TX,32,-94.91,Roof removed from an outbuilding and one exterior wall blown out of another outbuilding near the intersection of FM 1798 and FM 839. (SHV)
0430,70,5 N Reklaw,Rusk,TX,31.93,-94.98,A 70 mph wind gust was measured at a Texas Water Development Board Mesonet station on the Rusk County side of Lake Striker. (SHV)
0430,UNK,6 N Reklaw,Rusk,TX,31.96,-94.98,Corrects previous tstm wnd dmg report from 6 N Reklaw. A roof was ripped off of a house on CR 4256 on the Rusk County side of Lake Striker. (SHV)
0433,UNK,9 NW Mount Enterprise,Rusk,TX,32,-94.8,A tree was blown down across FM 225 just north of Laneville. A vehicle struck the tree... but the driver was not injured. (SHV)
0451,UNK,5 W Blanchard,Caddo,LA,32.57,-93.98,Trees were down across Highway 169 between Lindsay Road and Carrera Street west of Blanchard. (SHV)
0459,UNK,5 ESE Greenwood,Caddo,LA,32.41,-93.9,A tree was downed on Woolworth Road between Sagewood Drive and Shirley Francis Road. (SHV)
0500,UNK,5 ESE Greenwood,Caddo,LA,32.41,-93.89,A tree was downed on Buncombe Road near Bert Kouns Industrial Loop. Another tree was also downed on Bert Kouns near Pines Road. (SHV)
0505,UNK,7 NW Stonewall,Caddo,LA,32.34,-93.89,Trees down over Colquitt Road between Scout Drive and Woolworth Road. (SHV)
0513,66,2 SW Shreveport,Caddo,LA,32.44,-93.82,A 66 mph (or 57kt) wind gust was measured at the Shreveport Regional Airport. (SHV)
0513,UNK,2 S Shreveport,Caddo,LA,32.44,-93.8,Trees and power lines were downed on Jewella Ave between Dollarway Drive and Red Bud Lane. (SHV)
0515,UNK,3 NNE Stonewall,De Soto,LA,32.3,-93.79,Several trees were downed in Stonewall. (SHV)
0515,UNK,4 ESE Shreveport,Caddo,LA,32.45,-93.74,Numerous trees and power lines were downed across the South Highlands neighborhood of Shreveport... including near Pierremont Ave and Gilbert Drive... and Ockley Drive (SHV)
0540,UNK,4 ESE Diboll,Angelina,TX,31.17,-94.72,Tree down at the corner of 1818 and CC road. (SHV)
0545,UNK,10 W Hall Summit,Red River,LA,32.2,-93.48,Several trees down scattered across portions of the parish. (SHV)
0809,65,5 WNW Bandera,Bandera,TX,29.76,-99.15,Rock Cliff Reservoir weather station measured a 65 mph gust overnight. (EWX)
0814,60,6 NW Bandera,Bandera,TX,29.79,-99.14,Personal weather station near 3240 and Panther Hollow Drive measured 60 mph gusts overnight. (EWX)
0815,UNK,5 WNW Bandera,Bandera,TX,29.74,-99.15,At least 10 trees and some power poles reported down on highway 16 between Bandera and Medina from overnight storms. Photos show several large 1 to 2 foot diameter tree (EWX)
